ID_Perfume,perfume,brand,is_lokal,Notes
HRMN-0084,Petruk,Project 1945,True,"lemon, apple, lavender, pepper, leather, cardamom, rose, cedarwood, vetiver"
HRMN-0085,Samosir,Project 1945,True,"bergamot, green, jasmine, honeysuckle, green tea, honey, labdanum, musk"
HRMN-0086,Waters of Maluku,Project 1945,True,"grapefruit, carrot, green tea, lotus, peony, cinnamon, clove, cistus, incense, musk"
HRMN-0087,Fields of Ubud,Project 1945,True,"ambrette seeds, buchu leaves, bergamot, elemi, lavender, sea salt, sage, dried fruit, vetiver java, sandalwood, oakmoss"
HRMN-0088,Princess of Java,Project 1945,True,"peach, green pear, bitter orange, uberose, neroli, jasmine, orange blossom, vanilla, sandalwood, musk, amber"
HRMN-0089,Sunset in Sumba,Project 1945,True,"mandarin, red apple, cardamom, elemi, lavender, incense, clove, patchouli, vanilla"
HRMN-0090,Nusantara's Embrace,Project 1945,True,"citrus, incense, star anise, rice, black orris, water lily, sesame, sandalwood, hay"
HRMN-0091,Apresiasi,Project 1945,True,"bergamot, ambrette seed, orange, neroli, petitgrain, musk, vetiver, cedarwood, amber"
HRMN-0092,Jeruk Of Kintamani ,Bali Surfers Perfume,True,"orange, grapefruit, lime, green tea, musk, cedarwood"
HRMN-0093,Papan selancar for her,Bali Surfers Perfume,True,"strawberry candy, soursop, watermelon, soursop, soapy"
HRMN-0094,Dreamland for Her,Bali Surfers Perfume,True,"biscuit butter, -, -"
HRMN-0095,Surfing club,Bali Surfers Perfume,True,"sweet orange, woody, -"
HRMN-0096,Festival Layangan,Bali Surfers Perfume,True,"lemon, green, vanilla, patchouli, amber, musk"
HRMN-0097,The Ubud 3,Bali Surfers Perfume,True,"pineapple , saffron, -"
HRMN-0098,Balangan and Me,Bali Surfers Perfume,True,"grapefruit, cedar, tonka bean, -"
HRMN-0099,Dreamland ,Bali Surfers Perfume,True,"nutmeg, lavender, patchouli, -"
HRMN-0100,Bali Cliff 2,Bali Surfers Perfume,True,"citrussy, lavender, almond, flowery, saparila, vanilla, amber, woody"
HRMN-0101,Bali Cliff 1,Bali Surfers Perfume,True,"pink papper, bergamot, apple, cardamom, oakmoss, cinnamon, lavender, chestnut, vanilla, cedarwood"
HRMN-0102,Papan selancar ,Bali Surfers Perfume,True,"hazelnut, nutty, honey, bergamot, vanila, patchouli"
HRMN-0103,Double SIX,Bali Surfers Perfume,True,"citrussy, aromatic , fresh spicy, aquatic, -, -"
HRMN-0104,The Ubud ,Bali Surfers Perfume,True,"peach, rose, -, patchouli, musk"
HRMN-0105,Kuta 7 pm,Bali Surfers Perfume,True,"lychee, citrussy , bamboo, tea, musk, amber"
HRMN-0106,Kuta 7 am,Bali Surfers Perfume,True,"lychee, citrussy, jasmine, flowery, musk, woody, -"
HRMN-0107,For her,Bali Surfers Perfume,True,"citrus, bergamot, rose, jasmine, musk, amber"
HRMN-0108,Blue Point,Bali Surfers Perfume,True,"cytrus, fruity, oceanic, flowery, worm spicy, marine, musky, woody"
HRMN-0109,Bali Cliff for her,Bali Surfers Perfume,True,"fruity, watermellon, -, -"
HRMN-0110,Zephyr,Oullu,True,"licorice, almond, ground pistachio, rhubarb, ambergris, vanilla"
HRMN-0111,Phobos,Oullu,True,"bitter orange, wormwood, saffron, muguet, pink pepper, jasmine, amber, musk, tonka bean, warm woody"
HRMN-0112,Dia,Oullu,True,"yuzu, poppy, carambola, ylang, tuberose, orange blossom, musk, heliotrope, oris"
HRMN-0113,Solar Rays,Oullu,True,"caramel popcorn, brown sugar, tangerine, orchid, chinese osmanthus, tonka bean, bourbon vanilla, sandalwood"
HRMN-0114,Deep Dive,Oullu,True,"lemon blossom, barley, ozonic, sage, hinoki, oak moss, cashmere wood"
HRMN-0115,Aether,Oullu,True,"darjeerling, sapodilla, cucumber , magnolia, virginia cedar, jasmine"
HRMN-0116,Ego,Oullu,True,"cassis, fig, violet, geranium, cedar, patchouli"
HRMN-0117,Umbra,Oullu,True,"amalfi lemon, grapefruit, clove, blackpepper, oak moss, pine perfect"
HRMN-0118,Zephyr,Oullu,True,"bergamot, lemon, jasmine, apricot, amber, sandalwood"
HRMN-0119,Bird Song,Oullu,True,"ineapple, water lily, hortensia, kumquat plum, anise, amberwood, myrrh"
HRMN-0120,One and Only,Oullu,True,"apple, melon, marine, lychee, jasmine, musk, amber"
HRMN-0121,Nothing,USUAL,True,"fruity, white floral, ambroxide, amber"
HRMN-0122,Smells Like Nothing,USUAL,True,"ozonic, floral, ambroxide, amber, musk"
