perfume,brand,top notes,mid notes,base notes
Red Roses Cologne 2023,Jo Malone London,Lemon,Red Rose,Honeycomb
Elvie White Magic,Oriflame,"Amalfi Lemon, Neroli, Bergamot, Pink Pepper","Jasmine, African Orange Flower, Freesia","Musk, Virginia Cedar, Sandalwood"
Flower Fresh,Faberlic,"Grass, Watermelon, Mandarin Orange, Peony","Pink Tulip, Peach, Tomato Leaf","Cypress, Musk"
D Red by Diesel,Diesel,Blood Grapefruit,Lavender,Sandalwood
Dolly Girl Lil Starlet,Anna Sui,"Lemon, Orange, Pear","Peony, Lily","Plum, Musk"
A Oud Ancienne,Rogue Perfumery,"Agarwood, Cypress","Castoreum, Amyris, Labdanum","Oakmoss, Ylang Ylang, Bitter Almond"
Men Brahma,O Boticario,"Eucalyptus, Lemon, Black Pepper, Bergamot","Elemi, Artemisia, Sage, Cardamom","Amber, Musk, Cedar, Patchouli, Vetiver"
Yucatan Secret,Comptoir Sud Pacifique,"Watermelon, Bergamot","Absinthe, Lavender","Sandalwood, Cashmere Wood, Amber"
Vanilla Milk,Ellis Brooklyn,"Milk, Frangipani, Jasmine, Peony","Bourbon Vanilla, Madagascar Vanilla, Cacao Pod","Benzoin, Amyris, Sandalwood, Musk"
Vodka Pink,Paris Elysees,"Verbena, Sage, Chamomile","Rose, White Flowers, Geranium","Moss, Patchouli, Vetiver"
Champagne Royale,Navitus Parfums,"Ginger, Champagne, Sicilian Lemon, Italian Mandarin","Plum, Iris, Geranium, Ceylon Cinnamon, Nutmeg, Cypress","Balsam Fir, Leather, Virginia Cedar, Guaiac Wood"
Lamborghini,Jequiti,"Green Notes, Bergamot, Pineapple, Lime","Cedar, Apple, Lily-of-the-valley","Musk, Vanilla, Ambergris"
Fashionista,Ellen Tracy,"Peach, Plum, Melon, Citruses","Mimosa, Orange Blossom, Violet","Woody Notes, Spicy Notes"
Revelation,Cb I Hate Perfume,Fig Leaf,"White Honey, Spices","Cypress, Virginia Cedar, French Labdanum, Amber"
Floral Musk,Attar Collection,"Tagetes, Jasmine","Caramel, Amber","White Musk, Moss, Lily-of-the-valley"
Muna,Lattafa Perfumes,"Watermelon, Strawberry","Cyclamen, Magnolia, Peony, Damask Rose","Musk, Woody Notes"
Love Forever White,Bi Es,"Grapefruit, Black Currant, Apricot","Lily-of-the-valley, Jasmine, Rose","Apple, Woody Notes"
Sin,Bi Es,"Tangerine, Red Currant, Green Notes","Rose, Plum, Orange, Freesia","Amber, Patchouli, Musk"
E L,Zarkoperfume,"White Flowers, Pomegranate","Sea Notes, Green Notes, Green Tea","White Musk, White Woods"
Fcuk Him,Fcuk,"Lavender, Rosemary, Basil","Tea, Sage","Vanilla, Patchouli"
Ehsas,Al Haramain Perfumes,"Musk, Ambergris, Woody Notes, Rose, White Flowers, Citruses, Spicy Notes","Musk, Ambergris, Woody Notes, Aldehydes, Lily-of-the-valley, Sea Notes, Geranium, Artemisia","Musk, Ambergris, Rose, Sandalwood, Tonka Bean, Moss, Guaiac Wood"
Avon Luck Eau so Happy,Avon,Raspberry,Magnolia,Musk
Phantom Legion,Paco Rabanne,"Lemon Zest, Lavender, Lemon","Patchouli, Smoke, Lavender, Earthy Notes, Apple","Vanilla, Lavender, Vetiver"
Vanilla Sex,Tom Ford,Bitter Almond,"Vanilla, Floral Notes","Vanilla Absolute, Ultravanil, Tonka Bean, Sandalwood"
Giordani Gold,Oriflame,"White Flowers, Orange Blossom, Mandarin Orange, Lemon Blossom","Jasmine, Tuberose, Lily","Cypress, Patchouli, Moss, White Musk"
Commedia Dell Arte,Brocard,"Orange, Lemon, Bergamot","Apricot, Plum, Honeysuckle, White Flowers","Honey, Vanilla, Musk"
Sea Sparkle,Brocard,"Sea Water, Citruses, Ozonic Notes","Melon, Jasmine, Herbal Notes",Ambergris
Show off,Charriol,"Black Currant, Bergamot, Peach","Rose, Lotus, Violet","Virginia Cedar, Musk, Amber"
Wednesday,House of Sillage,"Black Pepper, Elemi Resin, Saffron","Turkish Rose, Rose, Magnolia","Patchouli, Vetiver, Agarwood"
Colore Colore Violet,Parfums Genty,"Black Currant, Blackberry, Pineapple","Sugar Cane, Rose, Green Notes, Jasmine","Musk, Sandalwood, Woody Notes"
Gourmand Bakhoor Dehn Al Oud,Jousset Parfums,"Caramel, Vanilla, Amaretto","Almond, Cacao, Honey",Agarwood (oud)
Cherry Bloom,Bi Es,"Green Grass, Grapes","Jasmine, Cherry, Violet, Almond","Iris, Musk"
Le Secret Du Charme,Brocard,"Pear, Apple, Lemon","Cedar, Sandalwood, Lily-of-the-valley","Musk, Vanilla, Amber"
Mexx Spring Is Now Woman,Mexx,"Apple, Grapefruit, Black Currant","Rose, Lily-of-the-valley","Peach Blossom, Brazilian Rosewood"
Presenze,Hilde Soliani,Bergamot,"Jasmine, Lily-of-the-valley, Patchouli","Vetiver, Amber, Vanilla"
