perfume,brand,top notes,mid notes,base notes
Vanille Ylang Ylang,Adopt Parfums,"Peach, Mandarin Orange","Ylang-ylang, Jasmine","Vanilla, Amber, Musk"
Poivre Noir Jasmin,Adopt Parfums,"Bergamot, Orange",Jasmine,"Cedar, Patchouli, Vanilla"
Club De Nuit Untold,Armaf,"Saffron, Jasmine","Amberwood, Ambergris","Fir Resin, Cedar"
Derby Club House Belmont,Armaf,"Orange, Grapefruit, Lemon","Pink Pepper, Pepper, Pelargonium","Vetiver, Benzoin, Cedar, Patchouli"
Odyssey Aoud,Armaf,"Lavender, Saffron, Nutmeg","Oud, Woody Notes","Patchouli, Ambroxan, Musk"
Seduction Pour Homme,Armaf,"Grapefruit, Sea Notes","Spices, Geranium, Bay Leaf","Guaiac Wood, Amber"
Musk Soft,Avon,"Bergamot, Mandarin Orange, Lime, Peach","Lavender, Gardenia, Magnolia, Lily-of-the-valley","Musk, Amber"
Imari Eclipse,Avon,"Pink Pepper, Pear, Bergamot","Orange Blossom, Peony, Tuberose","Patchouli, Sandalwood, Vanilla"
Acteur,Azzaro,"Fruity Notes, Cardamom, Bergamot, Mace, Calamus","Rose, Carnation, Patchouli, Vetiver, Cedar, Jasmine","Leather, Oakmoss, Musk, Amber"
212 Men,Carolina Herrera,"Green Notes, Grapefruit, Spices, Bergamot, Lavender, Petitgrain","Ginger, Violet, Gardenia, Sage","Musk, Sandalwood, Incense, Vetiver, Guaiac Wood, Labdanum"
212 Men a Summer on Ice 2003,Carolina Herrera,"Grapefruit, Bergamot, Lemon, Neroli, Mandarin Orange, Basil, Mint","Gardenia, Nutmeg, Coriander, Ginger, Cardamom","Musk, Sandalwood, Labdanum, Incense"
212 on Ice 2006,Carolina Herrera,"Grapefruit, Bergamot, Tangerine","Red Berries, Jasmine, Gardenia, Rose, Peony","Sandalwood, Musk"
Amethyst Haze,Carolina Herrera,"Cardamom, Pink Pepper","Lavender, Coffee","Cashmere Wood, Bourbon Vanilla, Patchouli"
Bronze Tonka,Carolina Herrera,"Agarwood (oud), Coffee, Cypriol Oil or Nagarmotha",Tonka Bean,"Saffron, Sandalwood"
Cristalle Eau Verte,Chanel,"Amalfi Lemon, Bergamot","Neroli, Magnolia","Jasmine, Iris, Musk"
Chloe Lisy,Chloe,"Peony, Litchi, Freesia","Rose, Magnolia, Lily-of-the-valley","White Honey, Amber, Virginia Cedar"
Mira Bai,Chopard,"Peach, Black Currant, Plum, Bergamot","Brazilian Rosewood, Rose, Jasmine","Vanilla, Sandalwood, Amber, Cedar"
Nuit Des Rois,Chopard,"Bulgarian Rose, Iris","Saffron, Bitter Orange, Honey, Cardamom, Vanilla, Neroli","Agarwood (oud), Sandalwood, Guaiac Wood, Vetiver, Laotian Oud"
Glitter,Comme Des Garcons,"Tea, Aldehydes, Angelica, Mandarin Orange","Nutmeg, West Indian Bay, Magnolia, Cinnamon, Coriander","Patchouli, Cedar"
Acqua Fiorentina the Encore,Creed,"Apple, Plum, Greengage, Prunella","Bergamot, Lemon, Rose, Carnation, Pear","Grapefruit, Sandalwood, Cedar"
Bois De Cedrat,Creed,Sicilian Lemon,Calabrian Mandarin,"Cedar, Ambergris"
Royal Scottish Lavender,Creed,"Bergamot, Citruses",Lavender,"Sandalwood, Spices, Vanille"
Absolu Aventus,Creed,"Grapefruit, Bergamot, Black Currant","Ginger, Cinnamon, Citron, Cardamom","Pink Pepper, Patchouli, Vetiver"
Debaser,Ds Durga,"Stems Greens, Bergamot, Pear","Fig, Coconut Milk, Iris","Precious Woods, Tonka Bean, Moss"
Davidoff Agar Blend,Davidoff,"Cinnamon, Black Pepper, Cloves","Agarwood (oud), Guaiac Wood","Benzoin, Agarwood (oud), Amber"
Miss Dior Cherie Extrait De Parfum,Dior,Mandarin Orange,"Tuberose, Jasmine",Patchouli
Miss Dior Le Parfum,Dior,Mandarin Orange,"Turkish Rose, Bulgarian Rose","Amber, Patchouli, Vanilla"
Poison Girl Unexpected Roller Pearl,Dior,"Ginger, Blood Orange, Lemon",Damask Rose,"Vanilla, Tonka Bean, Hazelnut, Cashmeran"
Sauvage Eau De Parfum,Dior,Bergamot,"Sichuan Pepper, Lavender, Star Anise, Nutmeg","Ambroxan, Vanilla"
34 Boulevard Saint Germain,Diptyque,"Clove, Cinnamon, Black Currant, Cardamom, Fig Leaf, Pink Pepper, Green Notes, Citruses","Geranium, Iris, Tuberose, Violet, Rose","Woodsy Notes, Resin, Eucalyptus"
Impossible Bouquet Eau Rose,Diptyque,"Litchi, Black Currant, Bergamot","Rose, Geranium, Jasmine","Musk, Virginian Cedar, Honey"
By,Dolce Gabbana,"Lavender, Bergamot, Cyclamen, Tangerine, Lily-of-the-valley","Lily, Cedar, Orchid, Violet","Musk, Coffee, Ginger, Sandalwood"
D G Masculine,Dolce Gabbana,"Bergamot, Petitgrain","Orange Blossom, Clary Sage, Basil, Mint, Jasmine, Caraway","Teak Wood, Vetiver, Cedar, Musk, Fig Leaf"
The Only One Eau De Parfum Intense,Dolce Gabbana,"Neroli, Green Apple, Italian Mandarin","Jasmine, Coconut, Orange Blossom","Vanilla, Cashmere Wood, Cedar"
Bronze Goddess 2011,Estee Lauder,"Bergamot, Mandarin Orange","Tiare Flower, Myrhh, Jasmine, African Orange Flower, Magnolia","Coconut, Caramel, Sandalwood, Amber, Vetiver"
Promise,Frederic Malle,"Apple, Pink Pepper, Rosemary","Bulgarian Rose, Turkish Rose, Clove","Cypriol Oil or Nagarmotha, Patchouli, Castoreum, Labdanum, Ambroxan"
Armani Code Special Blend,Giorgio Armani,"Mandarin Orange, Neroli, Bergamot","Star Anise, Olive Blossom, Tarragon","Tonka Bean, Tobacco, Guaiac Wood, Cedar"
Si Fiori,Giorgio Armani,"Black Currant, Green Mandarin","Neroli, Rose, Patchouli, Oakmoss","Vanilla, White Musk"
Si Golden Bow,Giorgio Armani,"Blackcurrant Syrup, Sicilian Bergamot, Mandarin Orange","Rose, Egyptian Jasmine, Neroli","Vanilla, Amber, Patchouli, White Woods, Musk"
Eaudemoiselle De Givenchy Angelic,Givenchy,"Fig Leaf, Star Jasmine, Tea","Cypress, Pine Needles","Woody Notes, Patchouli, Musk"
Gentlemen Only Absolute,Givenchy,Bergamot,"Cinnamon, Nutmeg, Saffron","Vanila, Sandalwood"
Ange Ou Demon Le Secret 2014,Givenchy,"Tea Leaf, Cranberry, Lemon, Grapefruit, Orange","Jasmine Sambac, Peony, Water Lily, Rose, Hedione","White Musk, White Woods, Patchouli, Amberwood, Vanilla"
Lui,Guerlain,"Clove, Pear","Benzoin, Carnation","Vanilla, Smoke, Leather, Woody Notes, Musk"
Insolence Shimmering Edition,Guerlain,"Raspberry, Red Berries, Bergamot, Lemon","Violet, Orange Blossom, Rose","Iris, Tonka Bean, Resins, Sandalwood, Musk"
Iris Torrefie,Guerlain,"Cardamom, Coffee, Bergamot","Iris, Ambrette (musk Mallow)","Leather, Tea, Vanilla, Amber"
Arsene Lupin Dandy,Guerlain,"Bitter Orange, Bergamot","Cardamom, Pink Pepper","Olibanum, Sandalwood, Patchouli"
Vetiver,Guerlain,"Bergamot, Tobacco, Lemon, Nutmeg, Neroli, Coriander, Mandarin Orange","Vetiver, Pepper, Carnation, Sage, Orris Root, Sandalwood","Vetiver, Oakmoss, Leather, Myrrh, Civet, Tonka Bean, Amber"
Amazone Eau De Fraicheur,Hermes,"Bergamot, Mandarin Orange, Black Currant, Raspberry","Narcissus, Jasmine, Tuberose","Vetiver, Woodsy Notes"
Eau Des Merveilles Constellation,Hermes,"Fir Resin, Orange, Pepper","Cedar, Oak, Amber","Peru Balsam, Siam Benzoin, Woodsy Notes"
L Eau Bleue D Issey Pour Homme,Issey Miyake,"Rosemary, Lime, Orangewood, Mandarin Orange, Lemongrass","Cypress, Juniper Berries, Ginger, Lavender, Pink Pepper, Star Anise, May Rose, Nasturtium","Atlas Cedar, Patchouli, Oakmoss, Sandalwood, Amber, Ambrette (musk Mallow)"
Classique Charm Edition,Jean Paul Gaultier,"Ginger, Anise","African Orange Flower, Rose",Vanille
La Belle Le Parfum,Jean Paul Gaultier,Pear,"Tonka Bean, Jasmine",Vanilla
Scandal Le Parfum,Jean Paul Gaultier,Jasmine,"Caramel, Salt",Vanilla
Jimmy Choo Parfum,Jimmy Choo,Sweet Orange,Orchid,"Amber, Toffee, Patchouli, Sandalwood"
Scarlet Poppy Cologne Intense,Jo Malone London,Ambrette (musk Mallow),Red Poppy,Tonka Bean
Vanilla 28,Kayali Fragrances,"Vanilla Orchid, Jasmine","Brown Sugar, Tonka Bean","Amber, Amberwood, Musk, Patchouli"
Kenzo Amour Indian Holi,Kenzo,"Cherry Blossom, Rice, Incense, Red Berries","Frangipani, Pink Pepper, Peony, Rose","Vanilla, Sandalwood, Musk"
Flower by Kenzo Oriental,Kenzo,"Incense, Floral Notes","Violet, Bulgarian Rose","Vanilla, Pepper"
Kenzo Jungle Le Tigre,Kenzo,"Kumquat, Tangerine, Orange","Osmanthus, Ylang-ylang","Cinnamon, Amber"
Hommage a L Homme Voyageur,Lalique,"Cardamom, Bergamot","Patchouli, Vetiver, Papyrus","Moss, Amber, Vanilla"
Encre Noire Sport,Lalique,"Grapefruit, Bergamot, Nutmeg","Cypress, Watery Notes, Lavender","Bourbon Vetiver, Haitian Vetiver, Cashmere Wood, Musk"
Oranges Bigarades,Lancome,"Bitter Orange, Orange, Bergamot","Orange Blossom, Black Tea, Jasmine, Hedione, Pepper","Vanilla, Sandalwood, Benzoin"
Oud Najdia,Lattafa Perfumes,"Citruses, Cedar","Cinnamon, Agarwood, Lavender, Cardamom, Rosemary","Amber, Patchouli, Musk"
Ra Ed Luxe,Lattafa Perfumes,"Juniper, Watermelon, Pineapple, Jasmine, Silk Tree Blossom, Pink Pepper","Lavender, Herbal Notes, Sage, Cinnamon","Ice, Strawberry, Amber, Vetiver, Musk, Vanilla, Sandalwood, Tonka Bean, Chestnut"
Sehr,Lattafa Perfumes,"Bitter Almond, Cinnamon","Pomarose, Akigalawood, Jasmine","Tonka Bean, Vanilla Absolute, Amber"
Bade E Al Oud Oud for Glory,Lattafa Perfumes,"Saffron, Nutmeg, Lavender","Agarwood (oud), Patchouli","Agarwood (oud), Patchouli, Musk"
Heures D Absence,Louis Vuitton,"Jasmine Sambac, May Rose","Mimosa, Pitosporum, Raspberry","Musk, Vanilla, Sandalwood"
Orage,Louis Vuitton,"Bergamot, Grapefruit","Iris, Pepper, Hedione","Patchouli, Java Vetiver Oil, Iso E Super, White Musk"
Rentless,Lush,"Anise, Grapefruit, Citruses","Geranium, Lemon","Labdanum, Coumarin, Vanilla, Leather"
Ananda Nectar,M Micallef,"Pear, Plum","Mimosa, Violet","White Musk, Vanilla"
Minerva,Maison Alhambra,"Bergamot, Nutmeg, Litchi, Rhubarb","Peony, Turkish Rose, Bergamot","Musk, Woodsy Notes, Vanilla, Lavender"
Lipstick on,Maison Martin Margiela,"Heliotrope, Bergamot, Neroli","Iris, Galbanum, Orange Blossom","Tonka Bean, Bourbon Vanilla, Patchouli"
Essence,Marc Jacobs,"Freesia, Bergamot, Spices","Gardenia, Orange Blossom, Iris, Turkish Rose","Musk, Benzoin, Tolu Balsam, Sandalwood"
Oudrising,Montale,"Leather, Bergamot, Pink Grapefruit, Pepper","Agarwood (oud), Smoke, Woodsy Notes, Black Tea, Labdanum, Rose, Patchouli, Jasmine","Tobacco, Incense, Vanilla, Sandalwood, Musk, Amber, Cedar"
Angel Garden of Stars La Rose Angel,Mugler,"Pink Pepper, Coumarin, Bergamot","Bulgarian Rose, Plum","Patchouli, Dark Chocolate, Caramel, Vanilla"
Gphl Parfum Fin,Nabucco,"Rose, Tangerine, Red Berries","Olibanum, Anise, Woodsy Notes, Violet","Moss, Fenugreek, Leather, Ambergris"
Esta Flor Flor De Laranjeira,Natura,"Jasmine, Freesia",Orange Blossom,"Musk, Cedar"
Esta Flor Rosa,Natura,"Litchi, Graperfuit, Bergamot, Mandarin Orange, Oily Notes, Artemisia","Bulgarian Rose, Peony, Violet, Marigold, Jasmine Sambac, Water Lily","Musk, Sandalwood, Resins, Amberwood, Vanila, Opoponax, Tonka Bean, Patchouli"
Humor on Line,Natura,"Cassis, Orange, Pomelo, Lemongrass, Bergamot, Pink Pepper, Mint, Rhubarb, Black Pepper","Rose, Geranium","Musk, Moss, Amber, Blonde Woods, Vetiver"
Luna Absoluta,Natura,"Raspberry, Pear, Pomegranate, Bergamot","Rose, Orchid, Egyptian Jasmine, Jasmine, Violet Leaf","Sweet Notes, Indonesian Patchouli Leaf, Musk, Cashmeran, Cedar"
Mate Leaves Folhas De Mate,Natura,"Bergamot, Lemon, Mandarin Orange, Cardamom","Mate, Lily-of-the-valley","Musk, Driftwood"
Nina Snow Princess,Nina Ricci,"Amalfi Lemon, Lime","Caramel, Praline, Red Apple","Vanille, Musk, Apple Tree, Virginia Cedar"
Tero,Nishane,"Caramel, Black Pepper, Sichuan Pepper, Salt","Patchouli, Cinnamon","Amber, Oak, Vetiver"
Acqua Lavanda Pop,O Boticario,"Lavender, Rosemary, Orange Blossom","Lavender, Geranium, Carnation","Cedar, Musk"
New Acqua Fresca,O Boticario,"Sicilian Lemon, Apple, Violet Leaves","Jasmine Sambac, Damask Rose","Musk, White Cedar Extract, Amber"
214 Jasmim Patchouli,O Boticario,"Pear, Bergamot, Grapefruit","Jasmine, Peach, Lily-of-the-valley, Raspberry","Musk, Amber, Madagascar Vanilla, Patchouli"
Make B Rose,O Boticario,"Candy Apple, Bergamot, Mandarin Orange","Cinnamon, Gardenia, Iris, Osmanthus, Apricot","Oat, Sandalwood, Musk, Cedar"
Invictus Platinum,Paco Rabanne,"Absinthe, Grapefruit","Mint, Lavender","Cypress, Patchouli"
Halfeti,Penhaligon S,"Cypress Leaf, Saffron, Cardamom, Artemisia, Bergamot, Grapefruit","Bulgarian Rose, Nutmeg, Jasmine","Agarwood (oud), Cedar, Leather, Sandalwood, Amber, Tonka Bean, Vanilla, Musk"
Halfeti Leather,Penhaligon S,"Plum, Cardamom, Lavender, Bergamot, Citruses, Green Notes","Nutmeg, Rose, Cinnamon, Cumin, Violet, Jasmine","Leather, Agarwood (oud), Incense, Cedar, Patchouli"
Esprit Du Roi,Penhaligon S,"Tomato Leaf, Mint, Citruses, Aldehydes, Citron, Bergamot, Amalfi Lemon, Artemisia, Mandarin Orange, Cardamom","Geranium, Jasmine, Cloves, Ylang-ylang, Honeysuckle","Oak Moss, Vetiver, Raspberry, Ambergris, Sandalwood, Patchouli, Musk, Virginia Cedar"
Extreme Polo Sport,Ralph Lauren,"Pepper, Mint, Bergamot, Nutmeg, Coriander, Juniper Berries","Cypress, Clary Sage, Guaiac Wood","Sandalwood, Elemi Resin, Incense"
Polo Supreme Oud,Ralph Lauren,"Cinnamon, Pink Pepper",Agarwood (oud),"Guaiac Wood, Vetiver"
Rumz Al Rasasi 9459 Pour Lui,Rasasi,"Pink Pepper, Bergamot, Grapefruit, Elemi, Lemon, Mandarin Orange, Ozonic Notes, Coriander, Apple","Geranium, Heliotrope, Rose, Lavender, Almond, Jasmine","Amber, Oak, Sandalwood, Moss, Vetiver, Woody Notes, Cedar, Tonka Bean, White Musk, Patchouli"
Sultanate of Oman,Roja Dove,"Grapefruit, Orange","Raspberry, Rose De Mai, Violet, Jasmine","Incense, Elemi, Agarwood (oud), Gurjan Balsam, Cardamom, Guaiac Wood, Saffron, Birch, Oakmoss, Orris, Papyrus, Sandalwood, Carrot Seeds, Cedar, Amyris, Musk"
Candy Aoud,Roja Dove,"Bergamot, Grapefruit","Banana, Apple, Pear, Black Currant, Rose","Agarwood (oud), Leather, Amber, Birch, Rhubarb, Saffron, Patchouli, Gurjan Balsam, Musk, Sandalwood, Cardamom, Cashmere Wood, Labdanum, Oakmoss, Amyris, Cedar, Balsam Fir, Olibanum, Orris"
Fadeitak,Swiss Arabian,Amber,"Musk, Pepper","Woodsy Notes, Animal Notes"
Ghazi Oud,Swiss Arabian,"Agarwood (oud), Incense",Agarwood (oud),"Amber, Musk"
Versus Donna,Versace,"Raspberry, Plum, Violet, Black Currant, Peach, Aldehydes, Bergamot, Green Notes","Sandalwood, Rose, Tuberose, Jasmine, Lily-of-the-valley","Iris, Benzoin, Amber, Vanilla, Musk, Cedar"
Seduction Dark Orchid,Victoria S Secret,"Plum, Black Currant, Blood Orange, Pineapple, Yuzu, Bergamot","Black Orchid, Orchid, Jasmine, Arum Lily, Lily-of-the-valley","Amber, Crystal Amber, Agarwood (oud), Cashmere Wood, Tonka Bean, Musk"
Bonbon Extreme Pure Perfume,Viktor Rolf,"Mandarin Orange, Peach, Neroli","Caramel, Orange Blossom, Jasmine Sambac","Sandalwood, Vanilla, Patchouli"
Flowerbomb La Vie En Rose 2013,Viktor Rolf,"Mandarin Orange, Pink Pepper, Green Tea, Bergamot","Rose, Candied Almond, Raspberry, Red Berries, Lily-of-the-valley","Patchouli, Cashmere Wood, Amber"
Aubres,Xerjoff,"Italian Lemon, Bergamot","Elemi, Incense, Basil, Myrtle, Lavender, Galbanum","Labdanum, Atlas Cedar, Patchouli"
Java Blossom,Xerjoff,Bergamot,"Incense, Orange Blossom, Tuberose","Vetiver, Sandalwood, Agarwood (oud)"
Ceylon,Xerjoff,"Honey, Jasmine Sambac, Calabrian Bergamot","Agarwood (oud), Black Tea, Sandalwood","Amber, Musk, Madagascar Vanilla"
Elle,Xerjoff,"Citruses, African Orange Flower, Galbanum","Iris, Birch, Woodsy Notes, Patchouli","Benzoin, Opoponax, Musk, Amber"
Splendid Wood,Yves Saint Laurent,"Incense, Cardamom","Oriental Woodsy Notes, Jasmine Sambac","Agarwood (oud), Cypriol Oil or Nagarmotha, Cedar"
Paris Premieres Roses 2015,Yves Saint Laurent,"Wild Rose, Violet Leaf, Neroli","Damask Rose, Peony, Lily-of-the-valley","Sandalwood, White Musk"
Zara 9 00 Pm Friday Night,Zara,Orange Blossom,"Heliotrope, Magnolia Petals","Tonka Bean, Vanilla, Musk"
Surfing Mullaghmore Head,Zara,"Bergamot, Grapefruit, Red Berries","Violet Leaf, Sea Notes, Apple","Musk, Amber, Cashmere Wood, Sandalwood"
Sublime Epoque,Zara,Bergamot,"Tuberose, Orange Blossom, Jasmine","Vanilla, Cedar"
Strolling over Heaven,Zara,Sage,Clove,Tonka Bean
Noble Palo Santo,Zara,Kumquat,Black Pepper,Palo Santo
Grapefruit Incense,Zara,Grapefruit,Rose De Mai,White Woods
Zara for Him Gold Edition,Zara,"Bergamot, Pepper","Iris Flower, Pear","Sandalwood, Vetiver"
Classics 6 0,Zara,"Iris, Pear","Cedar, Vetiver","Tonka Bean, Patchouli"
Rose Gourmand for Him,Zara,Rose,Amber,Vanilla
Cape Town Century Boulevard,Zara,Bergamot,Iris,Leather
Tiffany,Tiffany,"Black Currant, Mandarin Orange","Ylang-ylang, Taif Rose, African Orange Flower, Iris, Jasmine, Violet Leaf, Lily-of-the-valley","Sandalwood, Amber, Vetiver, Vanille"
X2o Extraordinary for Men,Ted Baker,"Tea, Tangerine, Cardamom","Spices, Lavender, Rosemary, Violet Leaf","Sandalwood, Pepper, Amber"
Zen Gold Elixir,Shiseido,"Pineapple, Bergamot, Grapefruit, Peach","Magnolia, Jasmine, Blue Rose","Patchouli, Amber, White Musk, Vanilla, Cedar"
Rouge 666 by Projekt Alternative,Perfumologist,Saffron,"Amberwood, Ambergris","Resins, Cedar"
Morgan De Toi Homme,Morgan,"Bergamot, Lemon, Clary Sage","Jasmine, Mint, Geranium","Vetiver, Sandalwood, Oakmoss"
Ambre Supreme,Les Indemodables,"Aldehydes, Clary Sage, Pink Pepper, Cardamom","Moroccan Jasmine, Neroli, Patchouli","Ambergris, Immortelle"
Oud Mystique,Jardin Boheme,"Pink Pepper, Coriander, Grapefruit","Patchouli, Vetiver, Jasmine","Agarwood (oud), White Musk, Leather"
Encens Roi,Histoires De Parfums,"Olibanum, Peppertree, Chamomile","Saffron, Atlas Cedar, Pimento","Labdanum, Agarwood (oud), Cacao, Vanilla"
Eau De Toilette Suzette,Granado,"Fig, Green Apple, Violet Leaf","Lily-of-the-valley, Magnolia, Freesia","Sandalwood, Musk, Amber"
Cerrutisi,Cerruti,"Ginger, Mandarin Orange","Resins, Rosemary, Cedar, Geranium","Siam Benzoin, Patchouli Leaf, Heliotrope, Oakmoss"
Le Vetiver,Carven,"Wormwood, Mint, Mandarin Orange, Geranium, Lavender","Vetiver, Gin, Spices, Patchouli","French Labdanum, Musk"
Paris Manille,Carven,"Carambola (star Fruit), Pink Pepper","Artemisia, Plum","Patchouli, White Musk"
Cypress Cedar,Banana Republic,"Bitter Orange, Pink Pepper, Mint","Cedar, Rhubarb, Black Pepper","Cypress, Vetiver, Moss, Patchouli, Musk"
Bambu Radiant Edition Hombre,Adolfo Dominguez,"Bamboo, Pineapple, Bergamot, Pomelo","Rum, Solar Notes, Agarwood (oud), Spices","Patchouli, Incense, Vetiver, Licorice"
Jazmin Tonka,Adolfo Dominguez,"Elemi, Black Currant, Italian Lemon, Raspberry","Egyptian Jasmine, Amber, Iris, Freesia","Vanilla, Musk, Cashmeran, Sandal, Ambrarome"
Noble Oud,Amjad,"Whiskey, Tobacco","Cinnamon, Coriander","Incense, Vanilla, Patchouli"
Fluid Man,Iceberg,"Patchouli, Peach, Black Currant, Bergamot, Mandarin Orange, Grapefruit, Lemon","Magnolia, Oakmoss, Freesia, Vetiver","Nutmeg, Tobacco, Birch, Honey, Amber, Cedar"
The Iceberg Fragrance for Men,Iceberg,"Lavender, Cardamom, Bergamot","Virginia Cedar, Iris, Ambrette (musk Mallow), Rose","Vanilla, Sage"
Pierre Cardin Pour Femme Winter Edition,Pierre Cardin,"Pineapple, Jasmine, Bergamot","Red Apple, Peony, Violet, Freesia","Vanilla, Apricot, Musk, Patchouli, Cedar"
Istanbul,Abdul Karim Al Faransi,"Saffron, White Rose",Peach,Turkish Rose
Authentic Night Homme,Abercrombie Fitch,"Apple, Rhubarb, Lotus","Vanilla, Lavender, Clary Sage","Tonka Bean, Leather, Oakmoss"
First Instinct Extreme,Abercrombie Fitch,"Carambola (star Fruit), Pepper, Mandarin Leaf","Violet Leaf, Sichuan Pepper, Cardamom, Saffron","Musk, Amber, Coconut Milk, Suede, Cashmirwood"
Copal Azur,Aedes De Venustas,"Incense, Salt, Ozonic Notes","Incense, Cardamom, Patchouli","Incense, Myrhh, Amber, Tonka Bean"
Wild Roses,Aftelier,"Rose, Damask Rose, Geranium, Heliotrope","Apricot, Pimento, Taif Rose","Tarragon, Vanilla, Patchouli"
H Ani,Alexandria Fragrances,"Ginger, Pink Pepper, Bergamot, Green Notes","Cardamom, Black Currant, Turkish Rose","Vanilla, Cedar, Ambergris, Sandalwood, Benzoin, Musk, Patchouli"
Old Story,Alexandria Fragrances,"Neroli, Lavender, Petitgrain, Rosemary","Jasmine, Geranium, Galbanum, Clary Sage","Amber, Sandalwood, Oak, Vetiver, Cedar"
Icon,Alfred Dunhill,"Neroli, Bergamot, Black Pepper, Petitgrain","Black Pepper, Lavender, Cardamom, Juniper Berries, Sage","Vetiver, Oakmoss, Iris, Leather, Agarwood (oud)"
Angels Liquor,Amira Parfums,Cognac,"Cinnamon, Hazelnut","Tonka Bean, Cedar"
Safran Rare,Amouroud,"Incense, Geranium, Bergamot, Freesia","Saffron, Rose De Mai, Cedar, Jasmine","Agarwood (oud), Sandalwood, Vetiver, Benzoin, Vanilla"
Jardin Humanistes,Anomalia Paris,"Lily-of-the-valley, Bergamot","Hyacinth, Gardenia, Orange Blossom","Mimosa, Tuberose, Heliotrope"
Jewels of Blu,Aqaba,"Peach, Apricot, May Rose","Ylang-ylang, Egyptian Jasmine","Vanilla Pod, Patchouli, Musk"
Bentley for Men Black Edition,Bentley,"Violet, Tangerine, Pink Pepper, Nutmeg","Papyrus, Earthy Notes, Patchouli, Sweet Notes, Jasmine","Atlas Cedar, Moss, Incense, Tobacco, Tonka Bean"
Mellow Heliotrope,Bentley,"Gardenia, Cassis, Mandarin Orange, Bergamot","Raspberry, Pink Pepper, Elemi","Heliotrope, Vanilla, Praline, Violet Leaf, Ambrette (musk Mallow)"
Torc Oud,Boadicea the Victorious,"Raspberry, Black Currant, Apple, Orange, Bergamot","Rose, Saffron, Heliotrope, Artemisia, Jasmine, Cloves, Pepper","Agarwood (oud), Vanilla, Leather, Amber, Musk, Iris, Sandalwood, Cedar, Patchouli"
Violet Sapphire,Boadicea the Victorious,"Raspberry, Passionfruit, Peach, Violet Leaves","Rose, Magnolia, Jasmine Sambac","Cambodian Oud, Crystal Amber, Musk, Cashmere Wood"
Hanuman,Boadicea the Victorious,"Orange Blossom, Bergamot, Lemon, Black Currant","Osmanthus, Neroli, Magnolia, Cyclamen","Vetiver, Cedar, Musk, Amber, Sandalwood"
Tiangou,Boadicea the Victorious,"Rum, Cloves, Cinnamon, Cardamom, Saffron","Damask Rose, Heliotrope, Geranium","Tobacco, Leather, Amber, Vanilla, Patchouli, Castoreum, Moss, Musk"
Jubilee,Boadicea the Victorious,"Pineapple, Saffron, Cardamom, Cinnamon","Jasmine Sambac, Damask Rose, Gardenia, Violet Leaves","Agarwood (oud), Crystal Amber, Woody Notes, Sandalwood, Musk"
Oxford,Boadicea the Victorious,"Lemon, Grapefruit, Bergamot, Clary Sage, Lavender","Neroli, Petitgrain, Jasmine, Mate","Musk, Vetiver, Amber"
Piccadilly,Boadicea the Victorious,"Saffron, Chamomile, Cardamom, Cinnamon, Baie Rose","Rose, Geranium, Magnolia, Hedione","Cashmeran, Cypriol Oil or Nagarmotha, Sandalwood, Atlas Cedar, Vanilla, Musk"
Rebellious,Boadicea the Victorious,"Saffron, Cinnamon, Bergamot","Rose, Labdanum, Violet","Sandalwood, Suede, Patchouli, Musk"
Feve Tonka De Canaima,Boucheron,"Bitter Almond, Violet","Tonka Bean, Patchouli, Rose","Vanilla, Sandalwood, Labdanum"
Bugatti Dynamic Move Amber,Bugatti Fashion,"Cinnamon, Aromatic Notes","Violet, Cypriol Oil or Nagarmotha","Cedar, Tobacco"
Carlo Corinto,Carlo Corinto,"Basil, Bergamot, Thyme, Lemon","Cedar, Raspberry, Sage","Leather, Vetiver, Patchouli"
Qafiya 2,Ajmal,"Coffee, Bergamot","Spices, Orange Blossom","Sandalwood, Moss"
Amber Wood,Ajmal,"Cardamom, Apple, Lavender, White Pepper","Cedar, Orris","Amber, Woody Notes, Patchouli"
Imperial Peacock,Alexandre J,"Rhubarb, Almond, Heliotrope","Black Vanilla Husk, Cinnamon, Tonka Bean, Sugar","Balsamic Notes, Musk"
Shaghaf,Anfas,"Ginger, Cardamom, Citruses","Leather, Tobacco, Cedar, Cashmeran","Agarwood (oud), Vanilla, Amber, Tolu Balsam, Patchouli, Opoponax"
Perfume Calligraphy Rose,Aramis,"Saffron, Oregano, Honeysuckle","Turkish Rose, Myrrh, Styrax, Lavender","Olibanum, Labdanum, Ambergris, Musk"
Eidesis,Aesop,"Black Pepper, Olibanum, Petitgrain","Cedar, Olibanum, Cumin","Sandalwood, Cedar, Vetiver"
Quetzaly,Daniel Josier,"Chili Pepper, Avocado, Lime","Incense, Dahlia, Copal","Sandalwood, Cedar, Musk"
Aromadite,Farmacia Ss Annunziata,"Citruses, Amalfi Lemon, Green Notes","Ginger, Watercress, Floral Notes","Vanille, Spices, Amber"
Palm Springs for Spencer Hart,Floris,"Cloves, Orange, Petitgrain, Bergamot, Neroli","Lavender, Ylang-ylang, Carnation","Sandalwood, Vanilla, Amber, Musk, Patchouli"
Eau De Passion Intense,Franck Olivier,"Mint, Lemon, Bergamot, Mandarin Orange","Cloves, Geranium, Vetiver","Musk, Amber, Oakmoss"
